date;ePAR;Temperature;RelativeHumidity;Co2;DewPoint;VPD;Pressure
Dec 15 2023 9:20:00 PM;0;9,887;70,807;613;4,857;0,356;99,72
Dec 15 2023 9:30:00 PM;0;9,907;71,225;622,5;4,961;0,352;99,72
Dec 15 2023 9:40:00 PM;0;9,85;71,709;608,5;5,003;0,344;99,74
Dec 15 2023 9:50:00 PM;0;9,706;72,362;625,5;4,994;0,333;99,74
Dec 15 2023 10:00:00 PM;0;9,68;72,365;630;4,969;0,333;99,755
Dec 15 2023 10:10:00 PM;0;9,588;73,03;653,5;5,012;0,323;99,74
Dec 15 2023 10:20:00 PM;0;9,292;73,812;665,5;4,879;0,307;99,755
Dec 15 2023 10:30:00 PM;0;9,566;73,418;648;5,067;0,317;99,79
Dec 15 2023 10:40:00 PM;0;9,665;73,17;616,5;5,113;0,323;99,79
Dec 15 2023 10:50:00 PM;0;9,383;74,764;620,5;5,151;0,298;99,79
Dec 15 2023 11:00:00 PM;0;9,348;75,343;636,5;5,228;0,29;99,795
Dec 15 2023 11:10:00 PM;0;9,159;75,542;633,5;5,083;0,284;99,81
Dec 15 2023 11:20:00 PM;0;9,049;75,351;632,5;4,941;0,284;99,81
Dec 15 2023 11:30:00 PM;0;8,949;76,352;640,5;5,032;0,271;99,835
Dec 15 2023 11:40:00 PM;0;8,813;76,619;640,5;4,951;0,265;99,855
Dec 15 2023 11:50:00 PM;0;9,045;75,796;624;5,02;0,279;99,86
Dec 16 2023 12:00:00 AM;0;8,967;76,032;607;4,989;0,275;99,855
Dec 16 2023 12:10:00 AM;0;8,898;76,619;597;5,033;0,267;99,845
Dec 16 2023 12:20:00 AM;0;8,747;76,756;575,5;4,912;0,263;99,85
Dec 16 2023 12:30:00 AM;0;8,725;76,85;558;4,909;0,261;99,85
Dec 16 2023 12:40:00 AM;0;8,546;77,339;554,5;4,826;0,253;99,87
Dec 16 2023 12:50:00 AM;0;8,625;77,3;565,5;4,895;0,254;99,885
Dec 16 2023 1:00:00 AM;0;8,624;76,707;562,5;4,784;0,261;99,895
Dec 16 2023 1:10:00 AM;0;8,83;74,669;539;4,6;0,288;99,885
Dec 16 2023 1:20:00 AM;0;9,117;73,311;539,5;4,614;0,309;99,875
Dec 16 2023 1:30:00 AM;0;9,061;73,053;541;4,509;0,311;99,86
Dec 16 2023 1:40:00 AM;0;8,878;73,259;540;4,374;0,305;99,85
Dec 16 2023 1:50:00 AM;0;8,714;73,952;550,5;4,35;0,294;99,84
Dec 16 2023 2:00:00 AM;0;8,406;74,033;547,5;4,069;0,287;99,85
Dec 16 2023 2:10:00 AM;0;8,288;73,988;539,5;3,947;0,285;99,885
Dec 16 2023 2:20:00 AM;0;8,386;73,463;539,5;3,939;0,293;99,9
Dec 16 2023 2:30:00 AM;0;8,256;73,287;538;3,781;0,292;99,9
Dec 16 2023 2:40:00 AM;0;8,249;72,852;542,5;3,689;0,297;99,9
Dec 16 2023 2:50:00 AM;0;8,371;72,143;538;3,668;0,307;99,895
Dec 16 2023 3:00:00 AM;0;8,381;71,843;532,5;3,619;0,31;99,9
Dec 16 2023 3:10:00 AM;0;8,289;72,347;533;3,629;0,303;99,9
Dec 16 2023 3:20:00 AM;0;8,32;72,185;534,5;3,627;0,305;99,905
Dec 16 2023 3:30:00 AM;0;8,376;72,192;536;3,683;0,306;99,89
Dec 16 2023 3:40:00 AM;0;8,317;72,21;536,5;3,63;0,305;99,875
Dec 16 2023 3:50:00 AM;0;8,114;73,258;531,5;3,638;0,29;99,87
Dec 16 2023 4:00:00 AM;0;8,189;72,992;546;3,658;0,294;99,865
Dec 16 2023 4:10:00 AM;0;8,069;73,522;542,5;3,645;0,286;99,865
Dec 16 2023 4:20:00 AM;0;7,844;74,307;533,5;3,579;0,273;99,87
Dec 16 2023 4:30:00 AM;0;7,743;74,399;541,5;3,499;0,27;99,87
Dec 16 2023 4:40:00 AM;0;7,875;74,186;543;3,585;0,275;99,88
Dec 16 2023 4:50:00 AM;0;7,89;74,511;536;3,662;0,272;99,895
Dec 16 2023 5:00:00 AM;0;7,82;75,234;531;3,732;0,263;99,895
Dec 16 2023 5:10:00 AM;0;7,703;75,654;541,5;3,697;0,256;99,905
Dec 16 2023 5:20:00 AM;0;7,862;75,267;542,5;3,778;0,263;99,895
Dec 16 2023 5:30:00 AM;0;7,97;75,154;543,5;3,862;0,266;99,905
Dec 16 2023 5:40:00 AM;0;7,96;75,306;534,5;3,88;0,265;99,89
Dec 16 2023 5:50:00 AM;0;7,829;75,823;542,5;3,85;0,257;99,88
Dec 16 2023 6:00:00 AM;0;7,807;76,122;533,5;3,885;0,253;99,895
Dec 16 2023 6:10:00 AM;0;7,633;76,54;540;3,794;0,246;99,92
Dec 16 2023 6:20:00 AM;0;7,717;76,417;538;3,853;0,249;99,925
Dec 16 2023 6:30:00 AM;0;7,674;76,636;535;3,852;0,245;99,925
Dec 16 2023 6:40:00 AM;0;7,416;77,403;540,5;3,743;0,233;99,945
Dec 16 2023 6:50:00 AM;0;7,287;78,26;543,5;3,775;0,222;99,96
Dec 16 2023 7:00:00 AM;0;7,462;77,647;540;3,832;0,231;99,975
Dec 16 2023 7:10:00 AM;0;7,241;78,123;535,5;3,705;0,223;99,98
Dec 16 2023 7:20:00 AM;0;7,097;78,695;547;3,669;0,215;99,965
Dec 16 2023 7:30:00 AM;0;7,168;78,824;539,5;3,761;0,215;99,96
Dec 16 2023 7:40:00 AM;0;7,176;79,028;536,5;3,805;0,213;99,96
Dec 16 2023 7:50:00 AM;0;6,954;79,496;539,5;3,673;0,205;99,945
Dec 16 2023 8:00:00 AM;0,847;6,947;79,616;544;3,687;0,204;99,955
Dec 16 2023 8:10:00 AM;3,156;6,895;79,894;544;3,687;0,2;99,945
Dec 16 2023 8:20:00 AM;7,104;6,917;79,811;542;3,693;0,201;99,96
Dec 16 2023 8:30:00 AM;20,872;6,967;79,7;546;3,722;0,203;99,975
Dec 16 2023 8:40:00 AM;33,834;7,355;78,62;540,5;3,905;0,22;99,98
Dec 16 2023 8:50:00 AM;45,313;7,796;76,724;547,5;3,986;0,247;99,985
Dec 16 2023 9:00:00 AM;59,877;8,425;74,374;543;4,152;0,283;99,99
Dec 16 2023 9:10:00 AM;74,228;9,462;71,821;547,5;4,652;0,334;100,015
Dec 16 2023 9:20:00 AM;87,475;10,132;69,675;554;4,862;0,376;100,015
Dec 16 2023 9:30:00 AM;104,704;10,938;67,274;550;5,129;0,428;100,025
Dec 16 2023 9:40:00 AM;122,77;11,404;65,421;571;5,172;0,467;100,045
Dec 16 2023 9:50:00 AM;140,47;11,994;64,838;560,5;5,602;0,494;100,065
Dec 16 2023 10:00:00 AM;162,116;12,92;62,176;547;5,874;0,564;100,075
Dec 16 2023 10:10:00 AM;181,221;13,559;61,012;548;6,204;0,606;100,095
Dec 16 2023 10:20:00 AM;200,858;13,886;60,818;548,5;6,465;0,623;100,105
Dec 16 2023 10:30:00 AM;219,591;14,957;59,491;576,5;7,15;0,69;100,095
Dec 16 2023 10:40:00 AM;236,577;15,836;57,557;579;7,491;0,765;100,1
Dec 16 2023 10:50:00 AM;246,233;16,292;56,377;585;7,613;0,809;100,1
Dec 16 2023 11:00:00 AM;276,368;16,59;54,525;590,5;7,403;0,86;100,105
Dec 16 2023 11:10:00 AM;313,849;17,31;53,825;579,5;7,881;0,914;100,12
Dec 16 2023 11:20:00 AM;329,57;18,192;52,636;585,5;8,368;0,991;100,135
Dec 16 2023 11:30:00 AM;317,32;18,926;50,617;575;8,469;1,082;100,13
Dec 16 2023 11:40:00 AM;297,508;19,271;48,843;566,5;8,261;1,145;100,12
Dec 16 2023 11:50:00 AM;210,787;19,76;48,065;558,5;8,471;1,198;100,105
Dec 16 2023 12:00:00 PM;131,506;20,065;47,364;537;8,534;1,238;100,1
Dec 16 2023 12:10:00 PM;175,14;20,89;46,384;528;8,975;1,326;100,08
Dec 16 2023 12:20:00 PM;195,991;21,099;45,647;528,5;8,928;1,362;100,07
Dec 16 2023 12:30:00 PM;206,319;21,622;44,335;540;8,971;1,44;100,05
Dec 16 2023 12:40:00 PM;194,565;21,922;43,932;543;9,106;1,478;100,035
Dec 16 2023 12:50:00 PM;191,021;21,358;44,37;546,5;8,744;1,416;100,03
Dec 16 2023 1:00:00 PM;189,125;22,418;41,548;548;8,73;1,588;100,02
Dec 16 2023 1:10:00 PM;180,89;21,251;42,743;536,5;8,099;1,448;100,02
Dec 16 2023 1:20:00 PM;173,332;22,394;40,647;526,5;8,386;1,61;99,995
Dec 16 2023 1:30:00 PM;157,854;20,323;39,715;521,5;6,2;1,44;99,99
Dec 16 2023 1:40:00 PM;141,849;20,794;39,251;528;6,45;1,494;99,975
Dec 16 2023 1:50:00 PM;135,949;20,258;40,39;518,5;6,385;1,418;99,96
Dec 16 2023 2:00:00 PM;133,867;21,284;39,042;519;6,809;1,545;99,96
Dec 16 2023 2:10:00 PM;142,495;21,573;39,138;511;7,102;1,57;99,96
Dec 16 2023 2:20:00 PM;157,374;21,955;38,424;514;7,174;1,626;99,96
Dec 16 2023 2:30:00 PM;176,613;22,136;38,528;514,5;7,373;1,641;99,945
Dec 16 2023 2:40:00 PM;178,023;21,741;38,193;511;6,896;1,611;99,95
Dec 16 2023 2:50:00 PM;188,526;22,033;38,608;518,5;7,312;1,629;99,95
Dec 16 2023 3:00:00 PM;204,443;22,154;38,253;511,5;7,284;1,65;99,93
Dec 16 2023 3:10:00 PM;211,754;22,207;39,421;517;7,771;1,625;99,93
Dec 16 2023 3:20:00 PM;201,431;22,407;39,236;513;7,88;1,649;99,93
Dec 16 2023 3:30:00 PM;170,093;22,29;40,779;512,5;8,341;1,596;99,925
Dec 16 2023 3:40:00 PM;143,812;22,735;40,335;510;8,577;1,652;99,92
Dec 16 2023 3:50:00 PM;135,929;23,01;39,606;514,5;8,553;1,7;99,925
Dec 16 2023 4:00:00 PM;122,755;22,219;39,716;513,5;7,891;1,618;99,925
Dec 16 2023 4:10:00 PM;110,619;21,968;41,273;512;8,23;1,552;99,93
Dec 16 2023 4:20:00 PM;85,78;21,816;42,654;517,5;8,576;1,502;99,93
Dec 16 2023 4:30:00 PM;70,726;21,173;42,708;516,5;8,018;1,442;99,93
Dec 16 2023 4:40:00 PM;62,274;20,288;43,379;512,5;7,449;1,35;99,93
Dec 16 2023 4:50:00 PM;52,179;19,472;44,941;520;7,227;1,248;99,935
Dec 16 2023 5:00:00 PM;34,154;18,756;47,342;522,5;7,335;1,141;99,94
Dec 16 2023 5:10:00 PM;17,266;17,874;50,656;520,5;7,515;1,012;99,94
Dec 16 2023 5:20:00 PM;6,871;16,539;54,267;523;7,286;0,862;99,94
Dec 16 2023 5:30:00 PM;2,557;15,109;57,312;529,5;6,75;0,734;99,955
Dec 16 2023 5:40:00 PM;0,305;13,669;62,353;532,5;6,621;0,59;99,96
Dec 16 2023 5:50:00 PM;0;13,015;65,28;539,5;6,668;0,521;99,965
Dec 16 2023 6:00:00 PM;0;12,294;68,977;538,5;6,781;0,444;99,98
Dec 16 2023 6:10:00 PM;0;11,815;73,155;541,5;7,177;0,372;99,99
Dec 16 2023 6:20:00 PM;0;11,383;76,073;538,5;7,331;0,323;100
Dec 16 2023 6:30:00 PM;0;11,109;77,397;539;7,317;0,299;100,005
Dec 16 2023 6:40:00 PM;0;10,954;77,967;542;7,274;0,289;100,015
Dec 16 2023 6:50:00 PM;0;10,787;74,845;564;6,52;0,326;100,02
Dec 16 2023 7:00:00 PM;0;10,63;70,746;572;5,556;0,375;100,04
Dec 16 2023 7:10:00 PM;0;10,15;69,68;560,5;4,879;0,377;100,055
Dec 16 2023 7:20:00 PM;0;10,033;70,613;555;4,958;0,362;100,065
Dec 16 2023 7:30:00 PM;0;9,897;72,601;557;5,225;0,335;100,08
Dec 16 2023 7:40:00 PM;0;9,719;73,668;569,5;5,262;0,318;100,075
Dec 16 2023 7:50:00 PM;0;9,593;74,153;569,5;5,236;0,309;100,08
Dec 16 2023 8:00:00 PM;0;9,311;73,158;565,5;4,771;0,315;100,07
Dec 16 2023 8:10:00 PM;0;9,185;71,295;553,5;4,282;0,334;100,07
Dec 16 2023 8:20:00 PM;0;8,899;71,317;554;4,012;0,328;100,06
Dec 16 2023 8:30:00 PM;0;8,954;70,641;553;3,93;0,336;100,05
Dec 16 2023 8:40:00 PM;0;8,832;70,636;552,5;3,811;0,334;100,05
Dec 16 2023 8:50:00 PM;0;8,83;70,719;551;3,827;0,333;100,05
Dec 16 2023 9:00:00 PM;0;8,696;71,167;555,5;3,788;0,325;100,065
Dec 16 2023 9:10:00 PM;0;8,607;73,366;553,5;4,134;0,298;100,07
Dec 16 2023 9:20:00 PM;0;8,512;73,706;548;4,108;0,292;100,075
Dec 16 2023 9:30:00 PM;0;8,562;73,456;564,5;4,108;0,296;100,07
Dec 16 2023 9:40:00 PM;0;8,407;72,647;576,5;3,801;0,302;100,065
Dec 16 2023 9:50:00 PM;0;8,374;74,952;584,5;4,213;0,276;100,065
Dec 16 2023 10:00:00 PM;0;8,125;76,699;578,5;4,3;0,252;100,065
Dec 16 2023 10:10:00 PM;0;8,176;77,258;575,5;4,453;0,247;100,065
Dec 16 2023 10:20:00 PM;0;8,056;77,304;587;4,345;0,245;100,055
Dec 16 2023 10:30:00 PM;0;8,103;75,95;591,5;4,139;0,26;100,05
Dec 16 2023 10:40:00 PM;0;7,928;76,479;604,5;4,069;0,251;100,045
Dec 16 2023 10:50:00 PM;0;7,918;75,929;593,5;3,956;0,257;100,05
Dec 16 2023 11:00:00 PM;0;7,774;77,248;593,5;4,061;0,241;100,07
Dec 16 2023 11:10:00 PM;0;7,706;77,817;583,5;4,101;0,234;100,085
Dec 16 2023 11:20:00 PM;0;7,454;78,641;582,5;4,006;0,221;100,09
Dec 16 2023 11:30:00 PM;0;7,605;78,645;577,5;4,152;0,223;100,09
Dec 16 2023 11:40:00 PM;0;7,292;79,005;578;3,914;0,215;100,11
Dec 16 2023 11:50:00 PM;0;7,184;78,622;580;3,74;0,217;100,12
Dec 17 2023 12:00:00 AM;0;6,798;78,554;576;3,353;0,212;100,13
Dec 17 2023 12:10:00 AM;0;6,685;79,159;566;3,352;0,205;100,15
Dec 17 2023 12:20:00 AM;0;6,482;80,341;574,5;3,363;0,19;100,135
Dec 17 2023 12:30:00 AM;0;6,632;79,59;581;3,377;0,2;100,135
Dec 17 2023 12:40:00 AM;0;6,759;78,967;572,5;3,389;0,208;100,13
Dec 17 2023 12:50:00 AM;0;6,857;78,216;565;3,349;0,216;100,13
Dec 17 2023 1:00:00 AM;0;6,869;77,633;561;3,255;0,222;100,13
Dec 17 2023 1:10:00 AM;0;6,965;76,519;556,5;3,144;0,235;100,135
Dec 17 2023 1:20:00 AM;0;6,936;75,767;555;2,977;0,242;100,135
Dec 17 2023 1:30:00 AM;0;7,028;75,688;550,5;3,051;0,244;100,135
Dec 17 2023 1:40:00 AM;0;7,048;75,188;549,5;2,977;0,25;100,135
Dec 17 2023 1:50:00 AM;0;6,909;75,111;552;2,829;0,248;100,14
Dec 17 2023 2:00:00 AM;0;6,865;75,705;554,5;2,897;0,242;100,145
Dec 17 2023 2:10:00 AM;0;6,73;76,859;548;2,979;0,228;100,155
Dec 17 2023 2:20:00 AM;0;6,618;77,283;547;2,948;0,222;100,155
Dec 17 2023 2:30:00 AM;0;6,502;77,281;561;2,835;0,22;100,15
Dec 17 2023 2:40:00 AM;0;6,565;76,775;561,5;2,804;0,226;100,16
Dec 17 2023 2:50:00 AM;0;6,529;76,401;561,5;2,701;0,229;100,16
Dec 17 2023 3:00:00 AM;0;6,316;76,907;563,5;2,587;0,221;100,16
Dec 17 2023 3:10:00 AM;0;6,458;76,398;555;2,631;0,228;100,16
Dec 17 2023 3:20:00 AM;0;6,525;76,401;560,5;2,696;0,229;100,155
Dec 17 2023 3:30:00 AM;0;6,426;77,473;558;2,796;0,217;100,14
Dec 17 2023 3:40:00 AM;0;6,58;77,609;555;2,971;0,218;100,15
Dec 17 2023 3:50:00 AM;0;6,311;78,498;563,5;2,87;0,206;100,14
Dec 17 2023 4:00:00 AM;0;6,247;79,302;556,5;2,951;0,197;100,125
Dec 17 2023 4:10:00 AM;0;6,233;79,928;547;3,048;0,191;100,11
Dec 17 2023 4:20:00 AM;0;6,15;80,676;553,5;3,098;0,183;100,1
Dec 17 2023 4:30:00 AM;0;6,154;80,837;553;3,131;0,181;100,095
Dec 17 2023 4:40:00 AM;0;5,868;81,524;549;2,971;0,171;100,085
Dec 17 2023 4:50:00 AM;0;5,941;81,478;552;3,034;0,173;100,085
Dec 17 2023 5:00:00 AM;0;5,837;82,282;554;3,071;0,164;100,07
Dec 17 2023 5:10:00 AM;0;5,622;82,926;547,5;2,971;0,156;100,06
Dec 17 2023 5:20:00 AM;0;5,539;83,707;548;3,022;0,148;100,05
Dec 17 2023 5:30:00 AM;0;5,491;83,813;552;2,993;0,146;100,035
Dec 17 2023 5:40:00 AM;0;5,332;84,551;553;2,961;0,138;100,035
Dec 17 2023 5:50:00 AM;0;5,383;84,014;549;2,921;0,143;100,035
Dec 17 2023 6:00:00 AM;0;5,129;83,633;557;2,608;0,144;100,04
Dec 17 2023 6:10:00 AM;0;4,982;84,057;560,5;2,535;0,139;100,055
Dec 17 2023 6:20:00 AM;0;4,88;84,96;567;2,586;0,13;100,06
Dec 17 2023 6:30:00 AM;0;4,892;84,545;562,5;2,529;0,134;100,06
Dec 17 2023 6:40:00 AM;0;4,839;84,286;562;2,434;0,136;100,07
Dec 17 2023 6:50:00 AM;0;4,669;84,376;559;2,282;0,133;100,075
Dec 17 2023 7:00:00 AM;0;4,693;83,945;574,5;2,233;0,137;100,075
Dec 17 2023 7:10:00 AM;0;4,465;84,239;577,5;2,06;0,133;100,09
Dec 17 2023 7:20:00 AM;0;4,641;83,904;584;2,176;0,137;100,09
Dec 17 2023 7:30:00 AM;0;4,448;84,194;581;2,035;0,133;100,095
Dec 17 2023 7:40:00 AM;0;4,538;83,808;579;2,06;0,137;100,095
Dec 17 2023 7:50:00 AM;0;4,26;84,57;589;1,914;0,128;100,09
Dec 17 2023 8:00:00 AM;0,692;4,289;84,201;579;1,881;0,131;100,09
Dec 17 2023 8:10:00 AM;2,692;4,249;84,126;581;1,829;0,132;100,105
Dec 17 2023 8:20:00 AM;6,623;4,307;83,981;582;1,862;0,133;100,12
Dec 17 2023 8:30:00 AM;18,588;4,302;84,447;580;1,934;0,129;100,125
Dec 17 2023 8:40:00 AM;39,548;4,61;83,445;592;2,069;0,141;100,135
Dec 17 2023 8:50:00 AM;55,496;5,43;81,926;600;2,612;0,163;100,145
Dec 17 2023 9:00:00 AM;74,001;6,274;79,206;580;2,961;0,198;100,15
Dec 17 2023 9:10:00 AM;94,723;6,674;78,008;562,5;3,133;0,216;100,155
Dec 17 2023 9:20:00 AM;123,086;7,78;75,48;556;3,739;0,259;100,155
Dec 17 2023 9:30:00 AM;141,911;8,667;72,381;557;3,999;0,31;100,15
Dec 17 2023 9:40:00 AM;159,368;9,534;70,071;561,5;4,37;0,357;100,175
Dec 17 2023 9:50:00 AM;166,57;10,633;69,599;557,5;5,325;0,39;100,175
Dec 17 2023 10:00:00 AM;188,412;11,5;66,751;561,5;5,551;0,452;100,195
Dec 17 2023 10:10:00 AM;205,942;12,554;65,422;560,5;6,263;0,504;100,185
Dec 17 2023 10:20:00 AM;222,014;13,198;63,453;561,5;6,431;0,555;100,19
Dec 17 2023 10:30:00 AM;248,506;13,514;61,223;562;6,211;0,601;100,185
Dec 17 2023 10:40:00 AM;270,757;14,673;60,615;557,5;7,156;0,659;100,205
Dec 17 2023 10:50:00 AM;288,581;15,516;58,837;556,5;7,513;0,727;100,195
Dec 17 2023 11:00:00 AM;291,453;16,191;58,093;561,5;7,957;0,772;100,19
Dec 17 2023 11:10:00 AM;299,988;16,882;56,636;541,5;8,229;0,835;100,19
Dec 17 2023 11:20:00 AM;291,024;17,856;54,113;542;8,464;0,94;100,18
Dec 17 2023 11:30:00 AM;290,792;18,67;51,32;531;8,436;1,049;100,19
Dec 17 2023 11:40:00 AM;284,169;19,371;48,608;534;8,281;1,157;100,185
Dec 17 2023 11:50:00 AM;216,811;19,472;48,271;534,5;8,272;1,172;100,17
Dec 17 2023 12:00:00 PM;137,003;20,406;46,483;535;8,567;1,285;100,165
Dec 17 2023 12:10:00 PM;173,797;20,847;47,92;534;9,417;1,285;100,155
Dec 17 2023 12:20:00 PM;197,019;21,673;46,028;537;9,571;1,401;100,14
Dec 17 2023 12:30:00 PM;207,125;22,451;44,799;528,5;9,872;1,502;100,125
Dec 17 2023 12:40:00 PM;195,423;22,99;44,754;528;10,344;1,554;100,12
Dec 17 2023 12:50:00 PM;189,415;23,873;43,084;527,5;10,571;1,688;100,11
Dec 17 2023 1:00:00 PM;187,663;24,113;41,744;528,5;10,315;1,753;100,1
Dec 17 2023 1:10:00 PM;178,55;24,005;41,2;535,5;10,024;1,758;100,095
Dec 17 2023 1:20:00 PM;172,495;24,29;39,531;534,5;9,663;1,839;100,075
Dec 17 2023 1:30:00 PM;158,335;24,44;38,895;525,5;9,556;1,875;100,065
Dec 17 2023 1:40:00 PM;141,064;24,745;38,695;516;9,75;1,916;100,065
Dec 17 2023 1:50:00 PM;135,298;25,258;38,259;512,5;10,036;1,99;100,05
Dec 17 2023 2:00:00 PM;132,705;25,694;37,142;511;9,981;2,079;100,04
Dec 17 2023 2:10:00 PM;141,281;25,902;35,916;513;9,665;2,145;100,03
Dec 17 2023 2:20:00 PM;156,687;25,913;34,904;514,5;9,252;2,181;100,02
Dec 17 2023 2:30:00 PM;176,262;26,254;32,102;517,5;8,317;2,321;100,015
Dec 17 2023 2:40:00 PM;176,892;24,368;33,608;511,5;7,348;2,029;100,01
Dec 17 2023 2:50:00 PM;185,401;23,881;32,558;514;6,462;2,001;100,015
Dec 17 2023 3:00:00 PM;201,085;24,059;31,191;517;5,998;2,064;100,02
Dec 17 2023 3:10:00 PM;211,712;23,668;32,464;519,5;6,235;1,979;100,02
Dec 17 2023 3:20:00 PM;201,142;23,628;32,154;522,5;6,062;1,983;100,03
Dec 17 2023 3:30:00 PM;173,074;23,085;31,431;520;5,263;1,939;100,04
Dec 17 2023 3:40:00 PM;144,045;22,431;31,392;516,5;4,679;1,865;100,06
Dec 17 2023 3:50:00 PM;136,187;21,78;34,64;526,5;5,52;1,708;100,065
Dec 17 2023 4:00:00 PM;120,807;20,786;38,188;524,5;6,046;1,519;100,05
Dec 17 2023 4:10:00 PM;111,498;20,489;36,942;520,5;5,306;1,522;100,05
Dec 17 2023 4:20:00 PM;88,875;20,371;36,693;519;5,105;1,517;100,05
Dec 17 2023 4:30:00 PM;73,071;20,237;35,856;519;4,656;1,524;100,04
Dec 17 2023 4:40:00 PM;64,81;20,46;36,864;518;5,25;1,521;100,035
Dec 17 2023 4:50:00 PM;56,55;20,133;39,398;518,5;5,915;1,431;100,03
Dec 17 2023 5:00:00 PM;39,268;19,46;41,761;526,5;6,152;1,319;100,03
Dec 17 2023 5:10:00 PM;21,094;18,432;44,532;519;6,153;1,178;100,045
Dec 17 2023 5:20:00 PM;7,222;16,932;49,155;530;6,214;0,982;100,06
Dec 17 2023 5:30:00 PM;2,785;15,395;52,489;534,5;5,747;0,832;100,065
Dec 17 2023 5:40:00 PM;0,227;13,768;50,788;527;3,775;0,776;100,07
